OCCUPANCY_DATE,LOCATION_CITY,OCCUPIED_BEDS
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,Toronto,8
2023-01-01T00:00:00,North York,NA
2023-01-01T00:00:00,North York,NA
2023-01-01T00:00:00,Etobicoke,NA
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,Toronto,39
2023-01-01T00:00:00,Toronto,18
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,North York,NA
2023-01-01T00:00:00,North York,NA
2023-01-01T00:00:00,North York,NA
2023-01-01T00:00:00,North York,NA
2023-01-01T00:00:00,Toronto,18
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,Scarborough,NA
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,Toronto,33
2023-01-01T00:00:00,Vaughan,NA
2023-01-01T00:00:00,Toronto,43
2023-01-01T00:00:00,Toronto,92
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,,NA
2023-01-01T00:00:00,,NA
2023-01-01T00:00:00,Scarborough,NA
2023-01-01T00:00:00,Toronto,90
2023-01-01T00:00:00,Toronto,58
2023-01-01T00:00:00,Toronto,49
2023-01-01T00:00:00,Toronto,81
2023-01-01T00:00:00,Toronto,22
2023-01-01T00:00:00,Toronto,5
2023-01-01T00:00:00,Toronto,57
2023-01-01T00:00:00,Toronto,67
2023-01-01T00:00:00,Toronto,24
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,Toronto,6
2023-01-01T00:00:00,Toronto,78
2023-01-01T00:00:00,Toronto,25
2023-01-01T00:00:00,Toronto,1
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,Toronto,62
2023-01-01T00:00:00,Toronto,28
2023-01-01T00:00:00,Toronto,59
2023-01-01T00:00:00,Scarborough,50
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,Toronto,53
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,Toronto,26
2023-01-01T00:00:00,Toronto,49
2023-01-01T00:00:00,Toronto,24
2023-01-01T00:00:00,Toronto,NA
2023-01-01T00:00:00,Toronto,4
2023-01-01T00:00:00,Toronto,10
2023-01-01T00:00:00,Toronto,37
2023-01-01T00:00:00,Toronto,24
2023-01-01T00:00:00,Toronto,51
2023-01-01T00:00:00,Toronto,23
2023-01-01T00:00:00,Toronto,66
2023-01-01T00:00:00,North York,NA
2023-01-01T00:00:00,Toronto,58
2023-01-01T00:00:00,Toronto,6
2023-01-01T00:00:00,Toronto,25
2023-01-01T00:00:00,Toronto,19
